lexeme	frequency	dispersion
know	0.21370561862285	44687
one	0.24420513094493362	13159
like	0.24774784520368598	23594
think	0.261626779540769	21082
thing	0.2667349592104725	10666
say	0.3026623246633282	8784
right	0.30830164903370216	9104
time	0.30917540535286714	7523
much	0.329558550354485	5470
come	0.3297704832166317	5446
other	0.33817660133791166	4845
something	0.3406628397841511	5418
take	0.3410254639087813	6186
see	0.3433561933876204	8266
make	0.351672992727104	5711
good	0.3545522727891923	6868
year	0.354813500531843	6773
more	0.3554577279481758	6191
little	0.3622140616501161	5654
want	0.3738679335644335	5053
way	0.37645622304312937	3962
two	0.3830311109137699	4232
try	0.40654378680615144	3814
back	0.40656060538870137	3843
talk	0.42003765885881456	3308
work	0.4230211620985759	6365
here	0.4246557588218161	4859
down	0.4280665361407583	3925
look	0.43183632186887283	3614
real	0.43405545516009675	3500
pretty	0.4397729882947608	3808
never	0.4413804792604931	3024
anything	0.4488357781637993	2458
put	0.4584286195830818	3571
big	0.47364295986916366	2701
three	0.47660634380803557	2560
day	0.47849104543811033	3082
live	0.4801350109464324	3399
first	0.4976423356876208	2130
need	0.5006729469193762	2711
five	0.512286406102505	2220
everything	0.5177070213967481	1971
different	0.524373615706715	2130
feel	0.5292679132412137	2707
whole	0.5455503739907946	1753
problem	0.5476313735841809	2429
old	0.564769697021952	1977
four	0.57792586883459	1756
hard	0.5871336629664116	1583
run	0.6078404377348013	1662
end	0.6135690333442405	1368
money	0.6220411957191448	2293
week	0.6274191756208825	1493
away	0.6352265977097887	1209
everybody	0.6352374117676943	1228
six	0.6482738851797778	1185
pay	0.6482997515402902	2979
able	0.6502334702654822	1207
area	0.6522637085686206	1544
friend	0.6529831003369875	1270
house	0.6678890836825634	2159
husband	0.6682180465716597	1381
child	0.6767530835420384	2551
enjoy	0.677113095160535	1565
move	0.6781382781921252	1267
sound	0.6791817353596284	1150
person	0.6908142538114797	1149
job	0.6926062237020731	1283
grow	0.7011130938889056	1227
na	0.7070097309586437	1085
believe	0.7094929367919973	1014
understand	0.7241877318147619	896
watch	0.730122729105184	2134
idea	0.7360336102239533	826
best	0.7423830924307877	777
decide	0.7518777255904942	789
name	0.755299116589121	922
fun	0.7616774539667609	912
man	0.7650835105176568	933
seven	0.766967631706643	695
certain	0.7673788761673155	733
figure	0.7879627027967595	577
wonder	0.7929975099731632	669
business	0.8176166710445648	629
woman	0.8274599955944939	1109
consider	0.8338075290669535	474
important	0.8392358885873684	590
hate	0.8404850939793486	455
large	0.8451359990906254	509
ahead	0.8496862763758152	427
stick	0.8530168341789585	377
door	0.8658494585996552	430
father	0.8673867928730838	447
difficult	0.867740711554738	380
order	0.8933912291454491	300
bill	0.9203295867722889	328
worst	0.9367130724104713	152
fan	0.9417247698530099	217
manage	0.9428799211056267	150
paint	0.9536333798585164	490
transfer	0.9676726620859996	80
central	0.9767310755656311	53
